name,party,smart_vote,joined_united_rus,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined
Жагина Ольга Михайловна,3,0,-1,1,3332,171550,36280,541,4883,24.31,0.32,2.85,0,0
Милованов Вячеслав Анатольевич,5,0,-1,1,3156,171550,36280,541,4883,24.31,0.32,2.85,0,0
Никитушкина Светлана Аркадьевна,8,0,-1,1,3403,171550,36280,541,4883,24.31,0.32,2.85,0,0
Ульянченко Иван Викторович,4,1,-1,1,14165,171550,36280,541,4883,24.31,0.32,2.85,0,0
Титов Андрей Михайлович,0,0,1,1,16136,171550,36280,541,4883,24.31,0.32,2.85,1,0
Воловец Светлана Альбертовна,0,0,-1,2,14079,181535,34302,595,3108,20.94,0.33,1.71,0,2
Жуков Владислав Владимирович,8,0,-1,2,2809,181535,34302,595,3108,20.94,0.33,1.71,0,2
Петров Андрей Юрьевич,5,0,-1,2,3456,181535,34302,595,3108,20.94,0.33,1.71,0,2
Рассудов Павел Юрьевич,0,0,-1,2,1046,181535,34302,595,3108,20.94,0.33,1.71,0,2
Локтев Дмитрий Александрович,4,1,0,2,15091,181535,34302,595,3108,20.94,0.33,1.71,1,2
Воскресенский Леонид Игоревич,3,0,-1,3,8010,186258,35426,748,2791,20.92,0.4,1.5,0,4
Цветкова Сабина Алановна,0,0,-1,3,12795,186258,35426,748,2791,20.92,0.4,1.5,0,4
Шевченко Юрий Владимирович,5,0,-1,3,2792,186258,35426,748,2791,20.92,0.4,1.5,0,4
Соловьев Александр Сергеевич,8,1,0,3,13578,186258,35426,748,2791,20.92,0.4,1.5,1,4
Бессонов Владимир Анатольевич,5,0,-1,4,2348,172145,33470,705,1889,20.95,0.41,1.1,0,1
Десяткин Сергей Евгеньевич,4,1,-1,4,12598,172145,33470,705,1889,20.95,0.41,1.1,0,1
Лобах Эрик Наэльевич,8,0,-1,4,1344,172145,33470,705,1889,20.95,0.41,1.1,0,1
Митина Дарья Александровна,3,0,-1,4,3589,172145,33470,705,1889,20.95,0.41,1.1,0,1
Киселева Мария Александровна,0,0,1,4,14835,172145,33470,705,1889,20.95,0.41,1.1,1,1
Бабаян Роман Георгиевич,0,0,1,5,18524,177579,36132,626,2597,22.16,0.35,1.46,1,3
Доможирова Ксения Валерьевна,8,1,-1,5,2196,177579,36132,626,2597,22.16,0.35,1.46,0,3
Литвинов Алексей Сергеевич,5,0,-1,5,1685,177579,36132,626,2597,22.16,0.35,1.46,0,3
Удальцова Анастасия Олеговна,4,0,-1,5,15598,177579,36132,626,2597,22.16,0.35,1.46,0,3
Бунимович Евгений Абрамович,9,1,0,6,16732,183248,36350,623,4373,22.56,0.34,2.39,1,1
Балыхин Михаил Григорьевич,0,0,-1,6,11449,183248,36350,623,4373,22.56,0.34,2.39,0,1
Крутских Наталья Васильевна,3,0,-1,6,2496,183248,36350,623,4373,22.56,0.34,2.39,0,1
Мельников Алексей Владимирович,4,0,-1,6,6921,183248,36350,623,4373,22.56,0.34,2.39,0,1
Почернин Алексей Юрьевич,5,0,-1,6,2341,183248,36350,623,4373,22.56,0.34,2.39,0,1
Вербенкин Антон Юрьевич,5,0,-1,7,3371,170161,31931,787,3537,21.31,0.46,2.08,0,0
Жуков Константин Аркадьевич,3,0,-1,7,2686,170161,31931,787,3537,21.31,0.46,2.08,0,0
Звягинцев Петр Семенович,4,1,-1,7,12772,170161,31931,787,3537,21.31,0.46,2.08,0,0
Кушаков Павел Николаевич,8,0,-1,7,3132,170161,31931,787,3537,21.31,0.46,2.08,0,0
Перфилова Надежда Рафаиловна,0,0,1,7,12909,170161,31931,787,3537,21.31,0.46,2.08,1,0
Беседина Дарья Станиславовна,0,1,0,8,14911,175737,36609,734,3479,23.23,0.42,1.98,1,2
Власов Василий Максимович,5,0,-1,8,2153,175737,36609,734,3479,23.23,0.42,1.98,0,2
Копейкина Екатерина Николаевна,0,0,-1,8,2765,175737,36609,734,3479,23.23,0.42,1.98,0,2
Кумин Вадим Валентинович,4,0,-1,8,12805,175737,36609,734,3479,23.23,0.42,1.98,0,2
Луговская Елена Константиновна,6,0,-1,8,1253,175737,36609,734,3479,23.23,0.42,1.98,0,2
Панина Ольга Григорьевна,8,0,-1,8,5774,175737,36609,734,3479,23.23,0.42,1.98,0,2
Бакашева Екатерина Сергеевна,3,0,-1,9,2451,178560,35081,705,3248,21.86,0.39,1.82,0,3
Галенкина Майя Александровна,5,0,-1,9,2399,178560,35081,705,3248,21.86,0.39,1.82,0,3
Голуенко Алиса Владимировна,8,0,-1,9,1928,178560,35081,705,3248,21.86,0.39,1.82,0,3
Степанов Николай Валерьевич,4,1,-1,9,15067,178560,35081,705,3248,21.86,0.39,1.82,0,3
Медведев Андрей Андреевич,0,0,-1,9,15580,178560,35081,705,3248,21.86,0.39,1.82,1,3
Дашкевич Игорь Николаевич,3,0,-1,10,2600,177285,34478,382,3364,21.56,0.22,1.9,0,0
Дашков Юрий Владимирович,4,1,-1,10,10786,177285,34478,382,3364,21.56,0.22,1.9,0,0
