name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won
Жагина Ольга Михайловна,1,3332,171550,36280,541,4883,24.31,0.32,2.85,False
Милованов Вячеслав Анатольевич,1,3156,171550,36280,541,4883,24.31,0.32,2.85,False
Никитушкина Светлана Аркадьевна,1,3403,171550,36280,541,4883,24.31,0.32,2.85,False
Титов Андрей Михайлович,1,16136,171550,36280,541,4883,24.31,0.32,2.85,True
Ульянченко Иван Викторович,1,14165,171550,36280,541,4883,24.31,0.32,2.85,False
Воловец Светлана Альбертовна,2,14079,181535,34302,595,3108,20.94,0.33,1.71,False
Жуков Владислав Владимирович,2,2809,181535,34302,595,3108,20.94,0.33,1.71,False
Локтев Дмитрий Александрович,2,15091,181535,34302,595,3108,20.94,0.33,1.71,True
Петров Андрей Юрьевич,2,3456,181535,34302,595,3108,20.94,0.33,1.71,False
Рассудов Павел Юрьевич,2,1046,181535,34302,595,3108,20.94,0.33,1.71,False
Воскресенский Леонид Игоревич,3,8010,186258,35426,748,2791,20.92,0.4,1.5,False
Соловьев Александр Сергеевич,3,13578,186258,35426,748,2791,20.92,0.4,1.5,True
Цветкова Сабина Алановна,3,12795,186258,35426,748,2791,20.92,0.4,1.5,False
Шевченко Юрий Владимирович,3,2792,186258,35426,748,2791,20.92,0.4,1.5,False
Бессонов Владимир Анатольевич,4,2348,172145,33470,705,1889,20.95,0.41,1.1,False
Десяткин Сергей Евгеньевич,4,12598,172145,33470,705,1889,20.95,0.41,1.1,False
Киселева Мария Александровна,4,14835,172145,33470,705,1889,20.95,0.41,1.1,True
Лобах Эрик Наэльевич,4,1344,172145,33470,705,1889,20.95,0.41,1.1,False
Митина Дарья Александровна,4,3589,172145,33470,705,1889,20.95,0.41,1.1,False
Бабаян Роман Георгиевич,5,18524,177579,36132,626,2597,22.16,0.35,1.46,True
Доможирова Ксения Валерьевна,5,2196,177579,36132,626,2597,22.16,0.35,1.46,False
Литвинов Алексей Сергеевич,5,1685,177579,36132,626,2597,22.16,0.35,1.46,False
Удальцова Анастасия Олеговна,5,15598,177579,36132,626,2597,22.16,0.35,1.46,False
Балыхин Михаил Григорьевич,6,11449,183248,36350,623,4373,22.56,0.34,2.39,False
Бунимович Евгений Абрамович,6,16732,183248,36350,623,4373,22.56,0.34,2.39,True
Крутских Наталья Васильевна,6,2496,183248,36350,623,4373,22.56,0.34,2.39,False
Мельников Алексей Владимирович,6,6921,183248,36350,623,4373,22.56,0.34,2.39,False
