,name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,party,joined_united_rus,declined,ur_affiliated,affiliation
0,Алексанян Артур Олегович,1,5775,171520,38751,931,3516,25.19,0.54,2.05,False,11,0,1,0,2
1,Болотин Максим Олегович,1,1995,171520,38751,931,3516,25.19,0.54,2.05,False,9,0,1,0,2
2,Бутузов Александр Викторович,1,3340,171520,38751,931,3516,25.19,0.54,2.05,False,5,0,1,0,2
3,Венедиктов Александр Викторович,1,5107,171520,38751,931,3516,25.19,0.54,2.05,False,8,0,1,0,2
4,Гончарук Григорий Иванович,1,6404,171520,38751,931,3516,25.19,0.54,2.05,False,4,0,1,0,2
5,Драгункина Зинаида Федоровна,1,19050,171520,38751,931,3516,25.19,0.54,2.05,True,10,1,1,1,1
6,Анисимов Егор Игоревич,2,1266,175024,31465,386,2072,19.38,0.22,1.18,False,5,0,4,0,2
7,Золотарёва Светлана Андреевна,2,1851,175024,31465,386,2072,19.38,0.22,1.18,False,0,0,4,0,0
8,Песков Михаил Владимирович,2,5444,175024,31465,386,2072,19.38,0.22,1.18,False,9,0,4,0,2
9,Цапенко Сергей Валерьевич,2,3399,175024,31465,386,2072,19.38,0.22,1.18,False,8,0,4,0,2
10,Шмелева Елена Игоревна,2,7604,175024,31465,386,2072,19.38,0.22,1.18,False,4,0,4,0,2
11,Ярославская Ольга Владимировна,2,13061,175024,31465,386,2072,19.38,0.22,1.18,True,0,1,4,0,1
12,Анашкин Юрий Александрович,3,5490,176760,32446,658,1714,19.7,0.37,0.97,False,0,0,3,1,0
13,Арзуманян Альберт Аргиналович,3,2149,176760,32446,658,1714,19.7,0.37,0.97,False,9,0,3,0,2
14,Белов Даниил Романович,3,1519,176760,32446,658,1714,19.7,0.37,0.97,False,5,0,3,0,2
15,Демидко Владимир Александрович,3,1925,176760,32446,658,1714,19.7,0.37,0.97,False,8,0,3,0,2
16,Сараев Дмитрий Михайлович,3,4861,176760,32446,658,1714,19.7,0.37,0.97,False,4,0,3,0,2
17,Скобинов Валерий Петрович,3,17729,176760,32446,658,1714,19.7,0.37,0.97,True,10,1,3,1,1
18,Алырин Святослав Игоревич,4,1290,173461,35480,589,1532,21.68,0.34,0.88,False,5,0,6,0,2
19,Герасимов Евгений Владимирович,4,19383,173461,35480,589,1532,21.68,0.34,0.88,True,10,1,6,1,1
20,Копкина Ирина Николаевна,4,8828,173461,35480,589,1532,21.68,0.34,0.88,False,9,0,6,0,2
21,Махмудов Рустам Хамидович,4,3713,173461,35480,589,1532,21.68,0.34,0.88,False,4,0,6,0,2
22,Павленко Ирина Алексеевна,4,3102,173461,35480,589,1532,21.68,0.34,0.88,False,8,0,6,0,2
23,Бабурин Сергей Николаевич,5,9128,176494,35146,673,1705,21.26,0.38,0.97,False,4,0,4,0,2
24,Золочевский Виталий Сергеевич,5,2260,176494,35146,673,1705,21.26,0.38,0.97,False,5,0,4,0,2
25,Кац Максим Евгеньевич,5,8613,176494,35146,673,1705,21.26,0.38,0.97,False,0,0,4,0,2
26,Морозова Елена Сергеевна,5,4066,176494,35146,673,1705,21.26,0.38,0.97,False,9,0,4,0,2
27,Сорока Олег Иосифович,5,12196,176494,35146,673,1705,21.26,0.38,0.97,True,10,1,4,1,1
28,Бабкина Надежда Георгиевна,6,13509,175116,33068,513,3065,20.93,0.29,1.75,True,10,1,4,1,1
29,Барынина Надежда Сергеевна,6,5406,175116,33068,513,3065,20.93,0.29,1.75,False,4,0,4,0,2
30,Григоров Сергей Геннадьевич,6,8759,175116,33068,513,3065,20.93,0.29,1.75,False,9,0,4,0,2
31,Елисеев Борис Петрович,6,5994,175116,33068,513,3065,20.93,0.29,1.75,False,8,0,4,0,2
32,Лопарева Тамара Михайловна,6,1673,175116,33068,513,3065,20.93,0.29,1.75,False,5,0,4,0,2
33,Дуняшев Александр Олегович,7,2613,170873,32702,624,2291,20.84,0.37,1.34,False,0,0,3,1,0
34,Звягинцев Петр Семенович,7,7481,170873,32702,624,2291,20.84,0.37,1.34,False,4,0,3,0,2
35,Молочко Александр Михайлович,7,1578,170873,32702,624,2291,20.84,0.37,1.34,False,5,0,3,0,2
36,Перфилова Надежда Рафаиловна,7,16257,170873,32702,624,2291,20.84,0.37,1.34,True,0,1,3,0,1
37,Потапова Светлана Витальевна,7,2321,170873,32702,624,2291,20.84,0.37,1.34,False,1,0,3,0,0
38,Самошин Владимир Сергеевич,7,2282,170873,32702,624,2291,20.84,0.37,1.34,False,9,0,3,0,2
39,Хомяков Владимир Константинович,7,1557,170873,32702,624,2291,20.84,0.37,1.34,False,8,0,3,0,2
40,Беляев Олег Алексеевич,8,4043,178030,32211,657,2780,20.02,0.37,1.56,False,8,0,9,0,2
41,Зюганов Леонид Андреевич,8,11904,178030,32211,657,2780,20.02,0.37,1.56,True,4,0,9,0,2
42,Морозов Антон Александрович,8,5858,178030,32211,657,2780,20.02,0.37,1.56,False,0,0,9,1,0
43,Николаев Игорь Алексеевич,8,7196,178030,32211,657,2780,20.02,0.37,1.56,False,9,0,9,0,2
44,Фатеева Татьяна Евгеньевна,8,3347,178030,32211,657,2780,20.02,0.37,1.56,False,5,0,9,0,2
45,Юнусова Лилия Равиловна,8,1855,178030,32211,657,2780,20.02,0.37,1.56,False,1,0,9,0,0
46,Галенкина Майя Александровна,9,1764,177787,34399,691,2616,21.21,0.39,1.47,False,5,0,5,0,2
47,Галямина Юлия Евгеньевна,9,6845,177787,34399,691,2616,21.21,0.39,1.47,False,9,0,5,0,2
48,Гусенков Алексей Иванович,9,1743,177787,34399,691,2616,21.21,0.39,1.47,False,2,0,5,0,0
49,Ильичева Ирина Викторовна,9,12961,177787,34399,691,2616,21.21,0.39,1.47,True,10,1,5,1,1
50,Кузнецова Ольга Михайловна,9,1532,177787,34399,691,2616,21.21,0.39,1.47,False,8,0,5,0,2
51,Пономарёв Виталий Константинович,9,1699,177787,34399,691,2616,21.21,0.39,1.47,False,0,0,5,0,0
52,Попова Алена Владимировна,9,3385,177787,34399,691,2616,21.21,0.39,1.47,False,0,0,5,0,0
