name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,absentee,won
Беляев Олег Алексеевич,Бабушкинский,13182,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,0
Губанов Юрий Ильич,Бабушкинский,4959,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,0
Друмова Марина Викторовна,Бабушкинский,7472,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,0
Лакеев Владимир Иванович,Бабушкинский,2450,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,0
Ляскин Николай Николаевич,Бабушкинский,13251,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,0
Митрохин Сергей Сергеевич,Бабушкинский,20997,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,0
Потапов Александр Владимирович,Бабушкинский,20348,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,0
Сапронов Александр Сергеевич,Бабушкинский,12441,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,0
Скорик Николай Андреевич,Бабушкинский,2334,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,0
Тетерин Иван Михайлович,Бабушкинский,58902,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,1
Чердаков Олег Иванович,Бабушкинский,1180,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,0
Юкша Янис Александрович,Бабушкинский,6729,491285,165945,0,5219,34.84006228563868,0.0,1.062316170858056,0.20884008264042256,0
Елисеева Наталия Андреевна,Кунцевский,5853,494800,157131,0,5232,32.81386418755053,0.0,1.0573969280517381,0.2948666127728375,0
Казенков Олег Юрьевич,Кунцевский,12486,494800,157131,0,5232,32.81386418755053,0.0,1.0573969280517381,0.2948666127728375,0
Колесов Евгений Викторович,Кунцевский,13220,494800,157131,0,5232,32.81386418755053,0.0,1.0573969280517381,0.2948666127728375,0
Лукашевич Вадим Павлович,Кунцевский,5427,494800,157131,0,5232,32.81386418755053,0.0,1.0573969280517381,0.2948666127728375,0
Лысаков Вячеслав Иванович,Кунцевский,47766,494800,157131,0,5232,32.81386418755053,0.0,1.0573969280517381,0.2948666127728375,1
Минеева Татьяна Вадимовна,Кунцевский,8676,494800,157131,0,5232,32.81386418755053,0.0,1.0573969280517381,0.2948666127728375,0
Михайлова Юлия Борисовна,Кунцевский,25184,494800,157131,0,5232,32.81386418755053,0.0,1.0573969280517381,0.2948666127728375,0
Николаев Игорь Алексеевич,Кунцевский,21229,494800,157131,0,5232,32.81386418755053,0.0,1.0573969280517381,0.2948666127728375,0
Нилов Ярослав Евгеньевич,Кунцевский,14283,494800,157131,0,5232,32.81386418755053,0.0,1.0573969280517381,0.2948666127728375,0
Власов Василий Максимович,Ленинградский,20306,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,0
Галямина Юлия Евгеньевна,Ленинградский,23684,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,0
Гуськов Александр Александрович,Ленинградский,2464,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,0
Калачев Валерий Валентинович,Ленинградский,10214,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,0
Макаров Вячеслав Геннадьевич,Ленинградский,5468,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,0
Нечаев Андрей Алексеевич,Ленинградский,9628,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,0
Объедков Федор Юрьевич,Ленинградский,4350,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,0
Онищенко Иван Владимирович,Ленинградский,5981,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,0
Тарасов Антон Александрович,Ленинградский,20134,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,0
Хованская Галина Петровна,Ленинградский,52623,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,1
Шунков Виталий Валентинович,Ленинградский,4315,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,0
Юрченко Юрий Петрович,Ленинградский,1839,507394,163821,0,5916,33.45270145094345,0.0,1.1659578158196588,0.2335463170632684,0
Бирюков Федор Владимирович,Люблинский,5697,508434,162819,0,5395,33.08472682786753,0.0,1.0611013425538025,0.14239803002946302,0
Долматов Михаил Михайлович,Люблинский,4041,508434,162819,0,5395,33.08472682786753,0.0,1.0611013425538025,0.14239803002946302,0
Катков Валерий Семенович,Люблинский,11436,508434,162819,0,5395,33.08472682786753,0.0,1.0611013425538025,0.14239803002946302,0
Качанов Александр Алексеевич,Люблинский,1772,508434,162819,0,5395,33.08472682786753,0.0,1.0611013425538025,0.14239803002946302,0
Качановский Дмитрий Евгеньевич,Люблинский,4428,508434,162819,0,5395,33.08472682786753,0.0,1.0611013425538025,0.14239803002946302,0
Козадаев Сергей Сергеевич,Люблинский,12052,508434,162819,0,5395,33.08472682786753,0.0,1.0611013425538025,0.14239803002946302,0
Козулин Михаил Юрьевич,Люблинский,613,508434,162819,0,5395,33.08472682786753,0.0,1.0611013425538025,0.14239803002946302,0
Куваев Александр Александрович,Люблинский,4343,508434,162819,0,5395,33.08472682786753,0.0,1.0611013425538025,0.14239803002946302,0
Маркин Владимир Николаевич,Люблинский,5946,508434,162819,0,5395,33.08472682786753,0.0,1.0611013425538025,0.14239803002946302,0
