name,declined,parties,won
Беляев Олег Алексеевич,2,8,0
Губанов Юрий Ильич,2,3,0
Друмова Марина Викторовна,2,2,0
Лакеев Владимир Иванович,2,0,0
Ляскин Николай Николаевич,2,13,0
Митрохин Сергей Сергеевич,2,9,0
Потапов Александр Владимирович,2,4,0
Сапронов Александр Сергеевич,2,5,0
Скорик Николай Андреевич,2,14,0
Тетерин Иван Михайлович,2,10,1
Чердаков Олег Иванович,2,1,0
Юкша Янис Александрович,2,7,0
Елисеева Наталия Андреевна,3,1,0
Казенков Олег Юрьевич,3,8,0
Колесов Евгений Викторович,3,7,0
Лукашевич Вадим Павлович,3,13,0
Лысаков Вячеслав Иванович,3,10,1
Минеева Татьяна Вадимовна,3,6,0
Михайлова Юлия Борисовна,3,4,0
Николаев Игорь Алексеевич,3,9,0
Нилов Ярослав Евгеньевич,3,5,0
Власов Василий Максимович,2,5,0
Галямина Юлия Евгеньевна,2,9,0
Гуськов Александр Александрович,2,1,0
Калачев Валерий Валентинович,2,7,0
Макаров Вячеслав Геннадьевич,2,13,0
Нечаев Андрей Алексеевич,2,6,0
Объедков Федор Юрьевич,2,2,0
Онищенко Иван Владимирович,2,14,0
Тарасов Антон Александрович,2,4,0
Хованская Галина Петровна,2,8,1
Шунков Виталий Валентинович,2,3,0
Юрченко Юрий Петрович,2,11,0
Бирюков Федор Владимирович,2,7,0
Долматов Михаил Михайлович,2,6,0
Катков Валерий Семенович,2,8,0
Качанов Александр Алексеевич,2,11,0
Качановский Дмитрий Евгеньевич,2,13,0
Козадаев Сергей Сергеевич,2,5,0
Козулин Михаил Юрьевич,2,1,0
Куваев Александр Александрович,2,3,0
Маркин Владимир Николаевич,2,14,0
Рашкин Валерий Федорович,2,4,0
Семаго Владимир Владимирович,2,9,0
Толстой Петр Олегович,2,10,1
Бабушкин Андрей Владимирович,1,9,0
Блинов Вячеслав Борисович,1,3,0
Григорович Кристина Георгиевна,1,11,0
Добрынин Сергей Александрович,1,5,0
Журавлев Алексей Владимирович,1,14,0
Мариничев Дмитрий Николаевич,1,6,0
Митволь Олег Львович,1,2,0
Парфенов Денис Андреевич,1,4,1
Рублева Юлия Владимировна,1,8,0
Траханов Федор Анисимович,1,1,0
Гончаров Кирилл Алексеевич,1,9,0
Джагаев Иосиф Русланович,1,6,0
Жандарова Юлия Александровна,1,2,0
Михальченко Наталья Алексеевна,1,13,0
Нагибин Андрей Николаевич,1,8,0
Николаев Дмитрий Сергеевич,1,5,0
Панина Елена Владимировна,1,10,1
Святошенко Владимир Алексеевич,1,4,0
Смирнов Валерий Николаевич,1,14,0
Струков Владимир Александрович,1,3,0
Федоров Георгий Владимирович,1,7,0
Аставина Александра Владимировна,1,2,0
Безниско Олег Дмитриевич,1,13,0
Косец Ольга Валентиновна,1,11,0
Кравченко Дмитрий Игоревич,1,3,0
Рудковский Андрей Андреевич,1,5,0
Саблин Дмитрий Вадимович,1,10,1
Сагенбаев Игорь Александрович,1,4,0
Сальникова Алина Ярославна,1,9,0
Сиднев Виктор Владимирович,1,6,0
Скурлатов Игорь Валерьевич,1,14,0
Чуприна Анатолий Николаевич,1,1,0
Абрамович Александр Борисович,1,3,0
Драндин Игорь Юрьевич,1,9,0
Духанина Любовь Николаевна,1,10,1
Ерохов Сергей Викторович,1,13,0
Медведев Александр Константинович,1,4,0
Мисевич Юлия Владимировна,1,2,0
Поляков Анатолий Павлович,1,14,0
Сорокина Дарья Николаевна,1,8,0
Худайбердиев Ибрагим Хидирович,1,7,0
Чернышов Борис Александрович,1,5,0
Янсуков Рахман Шах Магомедович,1,6,0
Бадак Елена Сергеевна,1,6,0
Балабуткин Алексей Алексеевич,1,3,0
Бойко Игорь Валерьевич,1,5,0
Ерин Игорь Григорьевич,1,14,0
Железняк Сергей Владимирович,1,10,1
Залищак Владимир Борисович,1,13,0
Касьмин Дмитрий Романович,1,7,0
Корсунов Александр Сергеевич,1,8,0
Круглов Максим Сергеевич,1,9,0
Лухтан Ольга Николаевна,1,2,0
Тимченко Александр Николаевич,1,4,0
Шемякин Максим Александрович,1,1,0
Барсукова Елена Евгеньевна,1,2,0
Беленький Арсений Сергеевич,1,6,0
Белый Константин Владимирович,1,7,0
Вассерман Анатолий Александрович,1,8,0
Демичева Ольга Юрьевна,1,9,0
Жарков Антон Викторович,1,10,1
Киреев Андрей Николаевич,1,5,0
Кононов Иван Васильевич,1,11,0
Коровин Вадим Александрович,1,13,0
Корсаков Николай Николаевич,1,4,0
Машенских Дмитрий Валерьевич,1,14,0
Салтанович Владимир Петрович,1,3,0
Шляпина Евдокия Борисовна,1,1,0
Бабурин Сергей Николаевич,1,4,0
Багиров Эдуард Исмаилович,1,14,0
Владимирский Игорь Станиславович,1,6,0
Гудков Дмитрий Геннадьевич,1,9,0
Коротченко Игорь Юрьевич,1,7,0
Марусов Сергей Александрович,1,5,0
Онищенко Геннадий Григорьевич,1,10,1
Пахомов Петр Николаевич,1,3,0
Свиридов Илья Тимурович,1,8,0
Чугунов Дмитрий Александрович,1,1,0
Шумский Александр Николаевич,1,11,0
Алексеев Алексей Олегович,1,8,0
Белых Ирина Викторовна,1,10,1
Гребенченко Василий Дмитриевич,1,1,0
Гроховский Артур Саидович,1,2,0
Колосова Екатерина Николаевна,1,14,0
Корепанов Сергей Геннадьевич,1,3,0
Павлова Елена Анатольевна,1,4,0
Песков Михаил Владимирович,1,9,0
Тимошина Юлия Сергеевна,1,5,0
Щербина Алексей Антонович,1,13,0
Ярошевская Яна Вадимовна,1,7,0
Баронова Мария Николаевна,3,0,0
Гончар Николай Николаевич,3,10,1
Дегтярев Михаил Владимирович,3,5,0
Захаров Дмитрий Александрович,3,3,0
Зубов Андрей Борисович,3,13,0
Катасонова Мария Владимировна,3,7,0
Михайлов Алексей Юрьевич,3,1,0
Руденко Андрей Викторович,3,11,0
Симонян Кристина Владиславовна,3,8,0
Соколова Ксения Янисовна,3,6,0
Тарасов Павел Михайлович,3,4,0
Умников Антон Геннадьевич,3,2,0
Эстон Олег Владимирович,3,14,0
Васильев Сергей Иванович,6,8,0
Дорофеев Сергей Владимирович,6,2,0
Митина Дарья Александровна,6,3,0
Морозов Дмитрий Анатольевич,6,10,1
Петровичев Алексей Николаевич,6,7,0
Родин Владимир Романович,6,4,0
Русакова Елена Леонидовна,6,9,0
Сорокина Мария Юрьевна,6,14,0
Станкевич Сергей Борисович,6,6,0
Ухов Илья Евгеньевич,6,1,0
Юриков Антон Вадимович,6,5,0
Янкаускас Константинас Стасисович,6,13,0
Андросов Дмитрий Петрович,1,13,0
Выборный Анатолий Борисович,1,10,1
Греков Платон Евгеньевич,1,5,0
Давыдов Денис Владимирович,1,4,0
Кокарев Вадим Григорьевич,1,14,0
Кочетков Владимир Валерьевич,1,8,0
Крапухин Алексей Игоревич,1,9,0
Меркулов Денис Валерьевич,1,7,0
Расташанский Михаил Юрьевич,1,11,0
Топорнин Николай Борисович,1,6,0
Цицилин Андрей Николаевич,1,2,0
Чумаков Марк Леонидович,1,3,0
Щербаченко Петр Сергеевич,1,1,0
