name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,joined_united_rus,ur_affiliated,party,affiliation
Алексанян Артур Олегович,1,5775,171520,38751,931,3516,25.185401119402982,2.1551923700171303,8.139265706745682,False,1,0,0,11,2
Болотин Максим Олегович,1,1995,171520,38751,931,3516,25.185401119402982,2.1551923700171303,8.139265706745682,False,1,0,0,9,2
Бутузов Александр Викторович,1,3340,171520,38751,931,3516,25.185401119402982,2.1551923700171303,8.139265706745682,False,1,0,0,5,2
Венедиктов Александр Викторович,1,5107,171520,38751,931,3516,25.185401119402982,2.1551923700171303,8.139265706745682,False,1,0,0,8,2
Гончарук Григорий Иванович,1,6404,171520,38751,931,3516,25.185401119402982,2.1551923700171303,8.139265706745682,False,1,0,0,4,2
Драгункина Зинаида Федоровна,1,19050,171520,38751,931,3516,25.185401119402982,2.1551923700171303,8.139265706745682,True,1,1,1,10,1
Анисимов Егор Игоревич,2,1266,175024,31465,386,2072,19.38191333759941,1.137871060932111,6.107950358164078,False,4,0,0,5,2
Золотарёва Светлана Андреевна,2,1851,175024,31465,386,2072,19.38191333759941,1.137871060932111,6.107950358164078,False,4,0,0,0,0
Песков Михаил Владимирович,2,5444,175024,31465,386,2072,19.38191333759941,1.137871060932111,6.107950358164078,False,4,0,0,9,2
Цапенко Сергей Валерьевич,2,3399,175024,31465,386,2072,19.38191333759941,1.137871060932111,6.107950358164078,False,4,0,0,8,2
Шмелева Елена Игоревна,2,7604,175024,31465,386,2072,19.38191333759941,1.137871060932111,6.107950358164078,False,4,0,0,4,2
Ярославская Ольга Владимировна,2,13061,175024,31465,386,2072,19.38191333759941,1.137871060932111,6.107950358164078,True,4,1,0,0,1
Анашкин Юрий Александрович,3,5490,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,False,3,0,1,0,0
Арзуманян Альберт Аргиналович,3,2149,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,False,3,0,0,9,2
Белов Даниил Романович,3,1519,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,False,3,0,0,5,2
Демидко Владимир Александрович,3,1925,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,False,3,0,0,8,2
Сараев Дмитрий Михайлович,3,4861,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,False,3,0,0,4,2
Скобинов Валерий Петрович,3,17729,176760,32446,658,1714,19.697895451459605,1.889827100924809,4.922741110919639,True,3,1,1,10,1
Алырин Святослав Игоревич,4,1290,173461,35480,589,1532,21.676918731011583,1.5664477008590196,4.074359724475413,False,6,0,0,5,2
Герасимов Евгений Владимирович,4,19383,173461,35480,589,1532,21.676918731011583,1.5664477008590196,4.074359724475413,True,6,1,1,10,1
Копкина Ирина Николаевна,4,8828,173461,35480,589,1532,21.676918731011583,1.5664477008590196,4.074359724475413,False,6,0,0,9,2
Махмудов Рустам Хамидович,4,3713,173461,35480,589,1532,21.676918731011583,1.5664477008590196,4.074359724475413,False,6,0,0,4,2
Павленко Ирина Алексеевна,4,3102,173461,35480,589,1532,21.676918731011583,1.5664477008590196,4.074359724475413,False,6,0,0,8,2
Бабурин Сергей Николаевич,5,9128,176494,35146,673,1705,21.260779403265836,1.7935188146253065,4.543758661123547,False,4,0,0,4,2
Золочевский Виталий Сергеевич,5,2260,176494,35146,673,1705,21.260779403265836,1.7935188146253065,4.543758661123547,False,4,0,0,5,2
Кац Максим Евгеньевич,5,8613,176494,35146,673,1705,21.260779403265836,1.7935188146253065,4.543758661123547,False,4,0,0,0,2
Морозова Елена Сергеевна,5,4066,176494,35146,673,1705,21.260779403265836,1.7935188146253065,4.543758661123547,False,4,0,0,9,2
Сорока Олег Иосифович,5,12196,176494,35146,673,1705,21.260779403265836,1.7935188146253065,4.543758661123547,True,4,1,1,10,1
Бабкина Надежда Георгиевна,6,13509,175116,33068,513,3065,20.9267000159894,1.3998799323254925,8.363805053757572,True,4,1,1,10,1
Барынина Надежда Сергеевна,6,5406,175116,33068,513,3065,20.9267000159894,1.3998799323254925,8.363805053757572,False,4,0,0,4,2
Григоров Сергей Геннадьевич,6,8759,175116,33068,513,3065,20.9267000159894,1.3998799323254925,8.363805053757572,False,4,0,0,9,2
Елисеев Борис Петрович,6,5994,175116,33068,513,3065,20.9267000159894,1.3998799323254925,8.363805053757572,False,4,0,0,8,2
Лопарева Тамара Михайловна,6,1673,175116,33068,513,3065,20.9267000159894,1.3998799323254925,8.363805053757572,False,4,0,0,5,2
