id,mandate,district,uik,violations
0,1,Силино,3258,0
1,1,Силино,3259,0
2,1,Силино,3260,0
3,1,Силино,3261,0
4,1,Силино,3262,0
5,1,Силино,3263,0
6,1,Силино,3264,0
7,1,Силино,3265,0
8,1,Силино,3266,0
9,1,Силино,3267,0
10,1,Силино,3268,0
11,1,Силино,3269,0
12,1,Силино,3270,0
13,1,Силино,3271,0
14,1,Силино,3272,0
15,1,Силино,3273,0
16,1,Силино,3274,0
17,1,Силино,3275,0
18,1,Силино,3276,0
19,1,Силино,3277,0
20,1,Силино,3278,0
21,1,Силино,3279,0
22,1,Силино,3280,0
23,1,Силино,3281,0
24,1,Силино,3282,0
25,1,Силино,3792,0
26,1,Крюково,3172,0
27,1,Крюково,3173,0
28,1,Крюково,3174,0
29,1,Крюково,3175,0
30,1,Крюково,3176,0
31,1,Крюково,3177,0
32,1,Крюково,3178,0
33,1,Крюково,3179,0
34,1,Крюково,3180,0
35,1,Крюково,3181,0
36,1,Крюково,3182,0
37,1,Крюково,3183,0
38,1,Крюково,3184,0
39,1,Крюково,3185,0
40,1,Крюково,3186,0
41,1,Крюково,3187,0
42,1,Крюково,3188,0
43,1,Крюково,3189,0
44,1,Крюково,3190,0
45,1,Крюково,3191,0
46,1,Крюково,3192,0
47,1,Крюково,3193,0
48,1,Крюково,3194,0
49,1,Крюково,3195,0
50,1,Крюково,3196,0
51,1,Крюково,3197,0
52,1,Крюково,3198,0
53,1,Крюково,3199,0
54,1,Крюково,3200,0
55,1,Крюково,3201,0
56,1,Крюково,3202,0
57,1,Крюково,3203,0
58,1,Крюково,3204,0
59,1,Крюково,3205,0
60,1,Крюково,3206,0
61,1,Крюково,3207,0
62,1,Крюково,3208,0
63,1,Крюково,3209,0
64,1,Крюково,3210,0
65,1,Крюково,3211,0
66,1,Крюково,3212,0
67,1,Крюково,3213,0
68,1,Крюково,5001,0
69,1,Старое Крюково,3283,0
70,1,Старое Крюково,3284,0
71,1,Старое Крюково,3285,0
72,1,Старое Крюково,3286,0
73,1,Старое Крюково,3287,0
74,1,Старое Крюково,3288,0
75,1,Старое Крюково,3289,0
76,1,Старое Крюково,3290,0
77,1,Старое Крюково,3291,0
78,1,Старое Крюково,3292,0
79,1,Старое Крюково,3293,0
80,1,Старое Крюково,3294,0
81,1,Старое Крюково,3295,0
82,1,Старое Крюково,3296,0
83,1,Старое Крюково,3297,0
84,1,Старое Крюково,3298,0
85,1,Матушкино,3214,0
86,1,Матушкино,3215,0
87,1,Матушкино,3216,0
88,1,Матушкино,3217,0
89,1,Матушкино,3218,0
90,1,Матушкино,3219,0
91,1,Матушкино,3220,0
92,1,Матушкино,3221,0
93,1,Матушкино,3222,0
94,1,Матушкино,3223,0
95,1,Матушкино,3224,1
96,1,Матушкино,3225,0
97,1,Матушкино,3226,0
98,1,Матушкино,3227,0
99,1,Матушкино,3228,0
100,1,Матушкино,3229,0
101,1,Матушкино,3230,0
102,1,Матушкино,3231,0
103,1,Матушкино,3232,0
104,1,Матушкино,3233,0
105,1,Матушкино,3234,0
106,1,Матушкино,3235,0
107,1,Матушкино,3236,0
108,1,Матушкино,3237,0
