name,district,mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside
Афанасьев Сергей Иванович,Богородское,1,1370,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Васильев Алексей Алексеевич,Богородское,1,884,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Васильев Михаил Сергеевич,Богородское,1,372,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Волков Егор Николаевич,Богородское,1,947,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Воловик Константин Ефимович,Богородское,1,1223,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Галкин Александр Андреевич,Богородское,1,226,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Гурциев Виталий Джумберович,Богородское,1,173,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Ерохин Владимир Петрович,Богородское,1,890,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Иванова Елена Николаевна,Богородское,1,354,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Крещенская Татьяна Леонидовна,Богородское,1,987,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Левин Станислав Леонидович,Богородское,1,126,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Мокрицын Дмитрий Андреевич,Богородское,1,977,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Орехов Павел Николаевич,Богородское,1,305,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Разумова Татьяна Евгеньевна,Богородское,1,134,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Саулина Ольга Леонидовна,Богородское,1,137,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Силаева Людмила Викторовна,Богородское,1,1118,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Сиротский Алексей Александрович,Богородское,1,429,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Смоленская Юлия Александровна,Богородское,1,1142,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Фролов Александр Александрович,Богородское,1,136,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Юрченко Егор Михайлович,Богородское,1,1000,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Яшин Игорь Васильевич,Богородское,1,566,21306,3387,4,111,16.43668450201821,0.018774054257016802,0.5209800056322162
Алиев Мариф Ариф оглы,Богородское,2,143,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Андержанов Надир Абдулкадерович,Богородское,2,111,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Аристов Иван Александрович,Богородское,2,1128,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Аширов Денис Валерьевич,Богородское,2,898,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Белов Даниил Романович,Богородское,2,157,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Воробьев Андрей Игоревич,Богородское,2,1114,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Гончаров Олег Викторович,Богородское,2,309,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Киндлер Яна Владимировна,Богородское,2,138,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Клюев Олег Александрович,Богородское,2,312,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Коновалова Екатерина Александровна,Богородское,2,1216,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Крылов Станислав Сергеевич,Богородское,2,964,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Ларионова Антонина Михайловна,Богородское,2,460,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Мещеряков Михаил Алексеевич,Богородское,2,175,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Муравская Юлия Сергеевна,Богородское,2,1349,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Ничемержин Андрей Владимирович,Богородское,2,1295,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Омельяненко Алексей Алексеевич,Богородское,2,1122,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
Орехова Мария Александровна,Богородское,2,258,22047,3423,29,124,16.219893863110627,0.13153717059010298,0.5624347983852679
