name,declined,parties,won
Васильев Михаил Сергеевич,3,4,0
Галкин Александр Андреевич,3,4,0
Гурциев Виталий Джумберович,3,4,0
Иванова Елена Николаевна,3,4,0
Орехов Павел Николаевич,3,4,0
Левин Станислав Леонидович,3,5,0
Разумова Татьяна Евгеньевна,3,5,0
Фролов Александр Александрович,3,5,0
Афанасьев Сергей Иванович,3,10,1
Воловик Константин Ефимович,3,10,1
Силаева Людмила Викторовна,3,10,1
Смоленская Юлия Александровна,3,10,1
Юрченко Егор Михайлович,3,10,1
Яшин Игорь Васильевич,3,20,0
Саулина Ольга Леонидовна,3,7,0
Васильев Алексей Алексеевич,3,9,0
Волков Егор Николаевич,3,9,0
Ерохин Владимир Петрович,0,9,0
Мокрицын Дмитрий Андреевич,0,9,0
Крещенская Татьяна Леонидовна,0,8,0
Сиротский Алексей Александрович,0,0,0
Андержанов Надир Абдулкадерович,0,3,0
Мещеряков Михаил Алексеевич,0,3,0
Потапов Александр Валентинович,0,3,0
Гончаров Олег Викторович,0,4,0
Клюев Олег Александрович,0,4,0
Ларионова Антонина Михайловна,0,4,0
Орехова Мария Александровна,0,4,0
Степаненкова Галина Михайловна,0,4,0
Алиев Мариф Ариф оглы,0,5,0
Белов Даниил Романович,0,5,0
Перминов Владимир Владимирович,0,5,0
Аширов Денис Валерьевич,0,10,0
Воробьев Андрей Игоревич,0,10,0
Коновалова Екатерина Александровна,0,10,1
Крылов Станислав Сергеевич,0,10,0
Сухова Вера Николаевна,0,10,0
Киндлер Яна Владимировна,0,7,0
Халезов Иван Александрович,0,9,1
Муравская Юлия Сергеевна,0,8,1
Ничемержин Андрей Владимирович,0,8,1
Омельяненко Алексей Алексеевич,0,8,0
Аристов Иван Александрович,0,0,1
Филиппов Анатолий Иванович,0,3,0
Богачев Александр Бюлентович,0,4,0
Гамбурцев Святослав Даниелович,0,4,0
Панков Дмитрий Валерьевич,0,4,0
Пильский Андрей Владимирович,0,4,0
Хавин Олег Юрьевич,0,4,0
Алексеева Елена Павловна,0,5,0
Петухова Елена Петровна,0,5,0
Хамзина Елена Николаевна,0,5,0
Гордина Ольга Андреевна,0,10,1
Иванова Анна Кирилловна,0,10,1
Казаковская Юлия Борисовна,0,10,1
Крейдич Виктор Юрьевич,0,10,0
Шустров Евгений Владимирович,0,10,1
Цивилева Лариса Николаевна,0,9,0
Вавилова Виктория Викторовна,0,0,0
Тельманова Маргарита Владимировна,0,0,1
Филимоненко Илья Анатольевич,0,0,0
Белова Мария Михайловна,3,0,0
Винокурова Надежда Ивановна,3,7,0
Глазкова Надежда Александровна,3,10,1
Гришин Алексей Анатольевич,3,0,0
Зуева Наталья Андреевна,3,10,1
Иващенко Евгений Николаевич,3,8,0
Казаков Александр Владимирович,3,5,0
Каргашин Юрий Дмитриевич,3,4,0
Кононова Ирина Владимировна,3,3,0
Кругляков Константин Михайлович,3,10,1
Куликов Алексей Юрьевич,3,9,0
Куликов Дмитрий Сергеевич,3,5,0
Маслова Дарья Владимировна,3,10,1
Миронов Иван Олегович,3,4,0
Никитин Евгений Александрович,3,5,0
Петренко Виктория Александровна,3,4,0
Савидов Андрей Николаевич,3,10,1
Сазонов Вячеслав Юрьевич,0,0,0
Сидякина Екатерина Николаевна,0,0,0
Тейванов Александр Михайлович,0,4,0
Фролкин Александр Павлович,0,3,0
Ханин Николай Александрович,0,0,0
Ядрикова Ольга Вячеславовна,0,0,0
Абрамов Игорь Сергеевич,0,0,0
Акмалов Руслан Рамилевич,0,0,0
Афанасьев Василий Павлович,0,9,0
Бабаев Андрей Владимирович,0,9,0
Баканина Татьяна Эдуардовна,0,3,0
Баландин Александр Иванович,0,5,0
Бобринский Андрей Алексеевич,0,0,0
Букреев Виктор Васильевич,0,5,0
Гнитиенко Андрей Владимирович,0,0,0
Качковский Александр Константинович,0,0,0
Кикория Гиви Леварсович,0,3,0
Кудинова Ольга Александровна,0,10,1
Мартынов Павел Игоревич,0,5,0
Марчуков Василий Викторович,0,4,0
Мишкеева Элина Александровна,0,0,0
Мурынина Ирина Викторовна,0,10,1
Самсонов Никита Михайлович,0,13,0
Смирнов Андрей Олегович,0,9,0
Старшинов Максим Валерьевич,0,4,0
Стельмахова Александра Викторовна,0,4,0
Студенцов Станислав Андреевич,0,7,0
Субботин Евгений Никитович,0,4,0
Титов Валерий Олегович,0,10,1
Филипенков Виталий Владимирович,0,10,1
Хавронина Ирина Петровна,0,0,0
Хайкина Татьяна Васильевна,0,10,1
Шагвалеев Руслан Маратович,0,0,0
Шереметьев Олег Михайлович,0,4,0
Баринова Нонна Автандиловна,1,10,1
Башнин Андрей Алексеевич,1,5,0
Борисов Эдуард Леонидович,1,0,0
Верников Богдан Витальевич,1,5,0
Ганиев Хабибулла Габдуллович,1,10,1
Гентер Евгений Золтанович,1,0,0
Димитриев Виталий Николаевич,1,4,0
Иванов Дмитрий Михайлович,1,0,0
Кац Елена Леонидовна,1,10,1
Колобов Юрий Васильевич,1,7,0
Колосова Виктория Вольдемаровна,1,10,1
Колычев Константин Владимирович,1,0,0
Комаров Никита Юрьевич,1,9,0
Кузнецов Андрей Олегович,1,0,0
Леонюк Петр Степанович,1,4,0
Лобанов Геннадий Геннадьевич,1,10,1
Лоцев Алексей Игоревич,1,0,0
Махортов Александр Николаевич,1,3,0
Мельник Игорь Дмитриевич,1,4,0
Мишин Николай Николаевич,1,0,0
Нестеренко Евгений Васильевич,1,5,0
Привалов Антон Евгеньевич,1,5,0
Прокошин Андрей Викторович,1,3,0
Соловых Валерий Юрьевич,1,4,0
Федоров Максим Михайлович,1,0,0
Чубаров Иван Владимирович,1,5,0
Шагвалеева Мария Вячеславовна,1,0,0
Шевченко Сергей Викторович,1,8,0
Шубина Ольга Васильевна,1,4,0
Аксенова Мария Владимировна,1,0,0
Аленуров Эльхан Асафович,1,0,0
Апальшин Юрий Михайлович,1,7,0
Байрон Елена Федоровна,1,4,0
Бояршинова Мария Владиславовна,1,0,0
Брагин Александр Игоревич,1,10,1
Васильева Наталья Алексеевна,1,3,0
Восканян Армен Иосифович,1,5,0
Горбачева Екатерина Николаевна,1,10,1
Дёмушкина Ольга Сергеевна,1,4,0
Егорченков Михаил Анатольевич,1,10,1
Иванов Дмитрий Михайлович,1,5,0
Карякин Алексей Владимирович,1,0,0
Козина Вера Ивановна,1,4,0
Козырева Елена Викторовна,1,5,0
Кондрахин Евгений Валерьевич,1,5,0
Кочеткова Ирина Николаевна,1,3,0
Марков Сергей Сергеевич,1,0,0
Наберухина Галина Михайловна,1,10,1
Питимко Людмила Витальевна,1,3,0
Прибыткова Мария Борисовна,1,10,1
Рудзская Зоя Николаевна,1,0,0
Федотов Владимир Сергеевич,1,0,0
Чуканова Маргарита Алексеевна,1,4,0
Шомин Владимир Владимирович,1,9,0
Щербицкая Ольга Владимировна,1,4,0
Амержанова Людмила Нордовна,1,7,0
Баландин Александр Иванович,1,5,0
Барышев Алексей Сергеевич,1,10,1
Беляков Сергей Владимирович,1,9,0
Большаков Николай Александрович,1,10,1
Бородин Олег Владимирович,1,9,0
Бурякова Елена Николаевна,1,10,1
Вишницкий Сергей Валентинович,1,8,0
Дмитриева Виктория Вадимовна,1,5,0
Жабин Николай Михайлович,1,4,0
Залесская Ирина Сергеевна,1,3,0
Ключко Оксана Викторовна,1,4,0
Кондрашов Алексей Анатольевич,1,0,0
Кутузов Денис Андреевич,1,5,0
Лаптев Дмитрий Валерьевич,1,5,0
Митяков Владимир Константинович,1,7,0
Молочко Александр Михайлович,1,5,0
Мрыхина Елена Александровна,1,0,0
Мусульбес Давид Владимирович,0,10,1
Натаров Илья Владимирович,0,21,0
Ненахов Сергей Иванович,0,4,0
Никитин Анатолий Константинович,0,0,0
Новиков Николай Васильевич,0,4,0
Орлов Павел Геннадьевич,0,17,0
Савина Оксана Александровна,0,8,0
Садиков Сергей Иванович,0,9,0
Сергеев Владимир Анатольевич,0,8,0
Смирнов Максим Николаевич,0,4,0
Шилова Юлия Владимировна,0,0,0
Шмаков Виталий Валентинович,0,0,0
Шматковский Владимир Федорович,0,10,1
Голдюк Кристина Максимовна,2,4,0
Ларионов Сергей Викторович,2,4,0
Малинина Ирина Вячеславна,2,4,0
Наумов Александр Юрьевич,2,4,0
Огнева Наталья Алексеевна,2,4,0
Касаев Мурат Борисович,2,3,0
Балмышев Алексей Валерьевич,2,5,0
Балмышева Роза Ахсановна,2,5,0
Косова Вера Александровна,2,5,0
Айсина Зифа Мухтасовна,2,10,0
Перепечин Олег Николаевич,2,10,1
Погорелов Владимир Васильевич,2,10,1
Сахаров Алексей Владимирович,2,10,0
Сурмилин Антон Дмитриевич,2,10,0
Ключникова Тамара Геннадьевна,2,7,0
Тарасова Мария Сергеевна,2,9,0
Волкова Татьяна Александровна,2,8,0
Огульчанская Алена Васильевна,2,8,1
Огурцов Николай Анатольевич,0,8,1
Покрашевская Аида Михайловна,0,8,0
Полтавцева Ирина Павловна,0,8,1
Артемов Александр Владимирович,0,0,0
Гаврилов Вячеслав Александрович,0,0,0
Иванова Карина Нуриджановна,0,0,0
Ковешников Николай Сергеевич,0,4,0
Колебанова Алина Александровна,0,4,0
Конкин Сергей Петрович,0,4,0
Обуховский Владимир Владимирович,0,4,0
Суровицкий Дмитрий Алексеевич,0,4,0
Кувшинова Раиса Ивановна,0,3,0
Киреев Андрей Николаевич,0,5,0
Никульшин Андрей Андреевич,0,5,0
Полтев Валерий Николаевич,0,5,0
Смирнов Андрей Анатольевич,0,5,0
Гаврилова Елена Владимировна,0,10,0
Готовец Юлия Анатольевна,0,10,1
Дегтярева Ирина Владимировна,0,10,1
Никульшина Надежда Валериевна,0,10,0
Шишкина Наталья Александровна,0,10,0
Сыромятникова Любовь Валерьевна,0,7,0
Алейников Геннадий Ильич,0,8,1
Давыдова Евгения Анатольевна,0,8,1
Кулагин Сергей Владимирович,0,8,1
Шаров Виталий Филиппович,0,8,0
Янчуков Игорь Александрович,0,8,0
Аминов Лев Ахмедович,0,0,0
Лонина Юлия Борисовна,0,0,0
Фонтуренкова Наталья Дмитриевна,0,0,0
Алдошина Юлия Владимировна,3,4,0
Ануфриева Наталья Александровна,3,8,0
Баш Юлия Александровна,3,10,1
Белов Александр Владимирович,3,5,0
Богданова Александра Сергеевна,3,5,0
Глубоковских Вадим Витальевич,3,10,1
Грибков Вадим Николаевич,3,4,0
Исаев Сергей Иванович,3,3,0
Козырева Елена Викторовна,3,5,0
Кулага Наталья Николаевна,3,10,1
Куштуев Степан Сергеевич,3,7,0
Максина Евгения Николаевна,3,0,0
Нараевский Алексей Викторович,3,4,0
Осипов Алексей Анатольевич,3,4,0
Павлова Елена Александровна,3,4,0
Перадзе Лев Отарович,3,0,0
Покатаев Алексей Николаевич,3,8,0
Семенов Антон Дмитриевич,0,8,0
Столяров Евгений Александрович,0,5,0
Тишкин Игорь Анатольевич,0,9,0
Хваталина Юлия Викторовна,0,10,1
Четвертков Тимофей Михайлович,0,10,1
Ягудаев Денис Мирхаевич,0,3,0
Архипов Иван Валерьевич,3,32,0
Асташкин Олег Олегович,3,3,0
Балмышев Алексей Валерьевич,3,5,0
Балмышева Роза Ахсановна,3,5,0
Барышникова Анастасия Павловна,3,10,1
Горячева Дарья Петровна,3,8,0
Здраевский Дмитрий Александрович,3,10,1
Колесникова Татьяна Михайловна,3,9,0
Кудрявцева Елена Михайловна,3,7,0
Кудряшов Сергей Константинович,3,4,0
Куликов Андрей Алексеевич,3,5,0
Лаврентьев Андрей Вячеславович,3,0,0
Любицкий Вячеслав Юрьевич,3,4,0
Мячин Андрей Владимирович,3,8,0
Неустроев Сергей Васильевич,3,8,0
Никольский Юрий Евгеньевич,0,10,1
Полтавцев Андрей Иванович,0,5,0
Рушникова Валентина Александровна,0,4,0
Селезнёва Светлана Викторовна,0,10,1
Соколова Мария Валерьяновна,0,10,1
Стефанцев Тимофей Викторович,0,5,0
Теренина Татьяна Михайловна,0,4,0
Шишов Дмитрий Вячеславович,0,8,0
Акишин Антон Иванович,4,10,1
Алиев Мариф Ариф оглы,4,5,0
Балабуткин Алексей Алексеевич,4,3,0
Барвашова Анна Валерьевна,4,5,0
Бессонов Сергей Ильич,4,5,0
Буканова Наталья Львовна,4,10,1
Галявиев Алмаз Александрович,4,17,0
Горячева Ольга Петровна,4,8,0
Гусаков Артём Юрьевич,4,4,0
Захаров Дмитрий Николаевич,4,10,1
Зубков Роман Александрович,4,3,0
Климачев Павел Михайлович,4,0,0
Корнилов Валерий Викторович,4,0,0
Краюшин Сергей Александрович,4,10,1
Куликова Юлия Геннадьевна,4,7,0
Окопный Олег Юрьевич,2,8,0
Отмахов Юрий Федорович,2,10,1
Пащенко Андрей Викторович,2,0,0
Полтев Валерий Николаевич,2,5,0
Прокопович Сергей Евгеньевич,2,0,0
Рощупкин Платон Алиевич,2,8,0
Струкова Татьяна Ивановна,2,0,0
Юренев Михаил Андреевич,2,3,0
Башуткин Дмитрий Валериевич,3,8,0
Богатов Вадим Евгеньевич,3,4,0
Борисова Светлана Георгиевна,3,9,0
Губернаторов Марк Владимирович,3,8,0
Гуварьян Арсен Погосович,3,9,0
Дерень Андрей Михайлович,3,0,0
Зубарь Андрей Николаевич,3,8,0
Иркисова Жанна Геннадьевна,3,4,0
Киреев Александр Андреевич,3,5,0
Королькова Наталия Олеговна,3,4,0
Кузин Дмитрий Львович,3,0,0
Малышева Наталья Михайловна,3,0,0
Мжельский Александр Александрович,3,3,0
Мизонов Юрий Александрович,3,10,1
Огаркова Светлана Владимировна,3,10,1
Петухова Татьяна Анатольевна,3,10,1
Проскуркина Галина Сергеевна,3,8,0
Садковский Максим Валентинович,0,5,0
Светлова Татьяна Анатольевна,0,10,1
