name, party
Алексанян Артур Олегович,Региональное отделение в городе Москве Политической партии Гражданская Платформа
Болотин Максим Олегович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Бутузов Александр Викторович,Московское городское отделение политической партии Либерально-демократическая партия России
Венедиктов Александр Викторович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Гончарук Григорий Иванович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Драгункина Зинаида Федоровна,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Анисимов Егор Игоревич,Московское городское отделение политической партии Либерально-демократическая партия России
Золотарёва Светлана Андреевна,Самовыдвижение
Песков Михаил Владимирович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Цапенко Сергей Валерьевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Шмелева Елена Игоревна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Ярославская Ольга Владимировна,Самовыдвижение
Анашкин Юрий Александрович,Самовыдвижение
Арзуманян Альберт Аргиналович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Белов Даниил Романович,Московское городское отделение политической партии Либерально-демократическая партия России
Демидко Владимир Александрович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Сараев Дмитрий Михайлович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Скобинов Валерий Петрович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Алырин Святослав Игоревич,Московское городское отделение политической партии Либерально-демократическая партия России
Герасимов Евгений Владимирович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Копкина Ирина Николаевна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Махмудов Рустам Хамидович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Павленко Ирина Алексеевна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Бабурин Сергей Николаевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Золочевский Виталий Сергеевич,Московское городское отделение политической партии Либерально-демократическая партия России
Кац Максим Евгеньевич,Самовыдвижение
Морозова Елена Сергеевна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Сорока Олег Иосифович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Бабкина Надежда Георгиевна,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Барынина Надежда Сергеевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Григоров Сергей Геннадьевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Елисеев Борис Петрович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Лопарева Тамара Михайловна,Московское городское отделение политической партии Либерально-демократическая партия России
Дуняшев Александр Олегович,Самовыдвижение
Звягинцев Петр Семенович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Молочко Александр Михайлович,Московское городское отделение политической партии Либерально-демократическая партия России
Перфилова Надежда Рафаиловна,Самовыдвижение
Потапова Светлана Витальевна,Региональное отделение Всероссийской политической партии Гражданская Сила в Москве
Самошин Владимир Сергеевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Хомяков Владимир Константинович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Беляев Олег Алексеевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Зюганов Леонид Андреевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Морозов Антон Александрович,Самовыдвижение
Николаев Игорь Алексеевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Фатеева Татьяна Евгеньевна,Московское городское отделение политической партии Либерально-демократическая партия России
Юнусова Лилия Равиловна,Региональное отделение Всероссийской политической партии Гражданская Сила в Москве
Галенкина Майя Александровна,Московское городское отделение политической партии Либерально-демократическая партия России
Галямина Юлия Евгеньевна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Гусенков Алексей Иванович,Региональное отделение в городе Москве Политической партии Российская экологическая партия Зеленые
Ильичева Ирина Викторовна,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Кузнецова Ольга Михайловна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Пономарёв Виталий Константинович,Самовыдвижение
Попова Алена Владимировна,Самовыдвижение
Сидоров Сергей Алексеевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Картавцева Лариса Руслановна,Самовыдвижение
Кравцов Алексей Владимирович,Самовыдвижение
Кузнецов Дмитрий Иванович,Московское городское отделение политической партии Либерально-демократическая партия России
Мерцалова Инна Борисовна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
