name, party
Алексанян Артур Олегович,11
Болотин Максим Олегович,9
Бутузов Александр Викторович,5
Венедиктов Александр Викторович,8
Гончарук Григорий Иванович,4
Драгункина Зинаида Федоровна,10
Анисимов Егор Игоревич,5
Золотарёва Светлана Андреевна,0
Песков Михаил Владимирович,9
Цапенко Сергей Валерьевич,8
Шмелева Елена Игоревна,4
Ярославская Ольга Владимировна,0
Анашкин Юрий Александрович,0
Арзуманян Альберт Аргиналович,9
Белов Даниил Романович,5
Демидко Владимир Александрович,8
Сараев Дмитрий Михайлович,4
Скобинов Валерий Петрович,10
Алырин Святослав Игоревич,5
Герасимов Евгений Владимирович,10
Копкина Ирина Николаевна,9
Махмудов Рустам Хамидович,4
Павленко Ирина Алексеевна,8
Бабурин Сергей Николаевич,4
Золочевский Виталий Сергеевич,5
Кац Максим Евгеньевич,0
Морозова Елена Сергеевна,9
Сорока Олег Иосифович,10
Бабкина Надежда Георгиевна,10
Барынина Надежда Сергеевна,4
Григоров Сергей Геннадьевич,9
Елисеев Борис Петрович,8
Лопарева Тамара Михайловна,5
Дуняшев Александр Олегович,0
Звягинцев Петр Семенович,4
Молочко Александр Михайлович,5
Перфилова Надежда Рафаиловна,0
Потапова Светлана Витальевна,1
Самошин Владимир Сергеевич,9
Хомяков Владимир Константинович,8
Беляев Олег Алексеевич,8
Зюганов Леонид Андреевич,4
Морозов Антон Александрович,0
Николаев Игорь Алексеевич,9
Фатеева Татьяна Евгеньевна,5
Юнусова Лилия Равиловна,1
Галенкина Майя Александровна,5
Галямина Юлия Евгеньевна,9
Гусенков Алексей Иванович,2
Ильичева Ирина Викторовна,10
Кузнецова Ольга Михайловна,8
Пономарёв Виталий Константинович,0
Попова Алена Владимировна,0
Сидоров Сергей Алексеевич,4
Картавцева Лариса Руслановна,0
Кравцов Алексей Владимирович,0
Кузнецов Дмитрий Иванович,5
Мерцалова Инна Борисовна,9
Саблуков Александр Валентинович,8
Фадеев Максим Анатольевич,4
Бабушкин Андрей Владимирович,9
Зубрилин Николай Григорьевич,4
Саватеев Вадим Витальевич,5
Силиверстов Игорь Витальевич,8
Марченко Евгений Владимирович,4
Сапронов Александр Сергеевич,5
Тафинцева Лидия Васильевна,0
Фокина Татьяна Михайловна,8
Ходаков Владимир Владимирович,9
Шапошников Алексей Валерьевич,10
Добрынин Сергей Александрович,5
Лебедев Сергей Эдуардович,0
Морозов Николай Николаевич,8
Портнова Татьяна Арториджевна,10
Савицкая Светлана Анатольевна,9
Шайжанов Родион Маратович,4
Захаров Дмитрий Александрович,8
Круглов Максим Сергеевич,9
Крюков Алексей Сергеевич,5
Михайлова Юлия Борисовна,4
Теличенко Валерий Иванович,10
Душенко Вячеслав Владимирович,8
Крапухин Алексей Игоревич,9
Метельский Андрей Николаевич,10
Тимонин Максим Анатольевич,4
Шилов Станислав Александрович,0
Юрьев Михаил Владимирович,5
Грищенко Елена Аркадьевна,9
Лазарев Николай Леонидович,5
Молев Антон Ильич,0
Мустафин Марат Махсутович,0
Парфенов Денис Андреевич,4
Тимонов Михаил Леонидович,8
Андреев Андрей Владимирович,5
Брумель Игорь Николаевич,8
Петров Михаил Владимирович,4
Пинясов Николай Сергеевич,9
Пономарев Алексей Анатольевич,0
Сметанов Александр Юрьевич,10
Бабыкина Галина Дмитриевна,0
Бурд Семен Яковлевич,9
Киреев Андрей Николаевич,5
Махмутова Айгуль Фатиховна,8
Назарова Ирина Александровна,0
Погорелов Владимир Васильевич,0
Чуканова Маргарита Алексеевна,4
Карасева Вера Юрьевна,9
Кругляков Виктор Михайлович,10
Лапин Юрий Ерминингельдович,4
Майоров Максим Александрович,8
Новиков Михаил Михайлович,5
Корсаков Евгений Геннадьевич,5
Молохов Александр Владимирович,9
Павленко Александр Александрович,8
Тимченко Александр Николаевич,4
Шибаев Андрей Вячеславович,7
Шульмин Виталий Юрьевич,0
Балабуткин Алексей Алексеевич,0
Зотов Владимир Борисович,10
Катков Валерий Семенович,8
Клычков Андрей Евгеньевич,4
Липагин Артём Владимирович,5
Родионова Светлана Сергеевна,9
Власов Александр Витальевич,5
Волков Владимир Николаевич,4
Караваева Марина Степановна,9
Святенко Инна Юрьевна,10
Солянин Валерий Владимирович,8
Гуличева Елена Петровна,4
Новиков Юрий Николаевич,5
Платонов Владимир Михайлович,10
Прочик Евгений Евгеньевич,9
Шишкин Сергей Владимирович,8
Зотов Владимир Владимирович,8
Зотова Зоя Михайловна,10
Ким Сергей Степанович,0
Овчаренко Татьяна Иосифовна,9
Протасов Роман Игоревич,5
Тарасов Павел Михайлович,4
Ананьев Олег Вячеславович,0
Антонов-Овсеенко Антон Антонович,9
Енгалычева Екатерина Александровна,4
Козадаев Сергей Сергеевич,5
Мещерякова Наталья Юрьевна,8
Стебенкова Людмила Васильевна,10
Балашов Евгений Борисович,4
Медовар Юрий Анатольевич,9
Пройдаков Андрей Юрьевич,8
Федосов Владислав Владимирович,5
Щитов Кирилл Владимирович,10
Гоголев Виктор Александрович,0
Добровольский Алексей Юрьевич,4
Орлов Степан Владимирович,10
Щербакова Ольга Александровна,5
Антонцев Михаил Иванович,10
Жармуханов Николай Люкманович,0
Каров Кирилл Николаевич,5
Куимов Владимир Михайлович,4
Мирошина Марина Геннадьевна,8
Яблоков Алексей Владимирович,9
Гендин Геннадий Васильевич,8
Медведев Александр Константинович,4
Минько Нина Григорьевна,0
Петров Иван Евгеньевич,5
Пороховниченко Юрий Иванович,9
Сонкин Виктор Николаевич,0
Давыдов Денис Владимирович,4
Елисеев Сергей Геннадиевич,5
Мишин Алексей Валентинович,0
Новиков Дмитрий Владимирович,9
Поняхина Марина Анатольевна,8
Репкина Елена Владимировна,0
Анохин Сергей Владимирович,8
Грязнова Варвара Леонидовна,9
Зверев Сергей Иванович,10
Курафеев Александр Юрьевич,4
Новикова Анна Сергеевна,5
Сухов Олег Владимирович,0
Гончаров Кирилл Алексеевич,9
Дьячков Роман Михайлович,4
Журавский Сергей Владимирович,8
Ломакина Татьяна Евгеньевна,10
Почукаев Анатолий Юрьевич,7
Чернышов Борис Александрович,5
Шинкаренко Татьяна Андреевна,0
Греков Платон Евгеньевич,5
Гусева Людмила Ивановна,10
Макаров Вячеслав Геннадьевич,8
Попов Александр Викторович,9
Тарасов Антон Александрович,4
Животов Геннадий Васильевич,4
Кочетков Владимир Валерьевич,8
Огородников Георгий Борисович,9
Семенников Александр Григорьевич,10
Юриков Антон Вадимович,5
Анохина Ольга Ярославовна,4
Борщев Валерий Васильевич,9
Васильев Сергей Иванович,8
Лайшев Ренат Алексеевич,0
Паращенко Сергей Николаевич,5
Устинов Арсений Григорьевич,0
Волков Николай Юрьевич,4
Гринченко Владимир Владимирович,5
Росс Сергей Геннадьевич,8
Семенов Григорий Викторович,9
Шарапова Ольга Викторовна,0
Вышегородцев Михаил Михайлович,11
Губенко Николай Николаевич,4
Мишин Геннадий Александрович,5
Рамазанов Сираждин Омарович,13
Рублева Юлия Владимировна,8
Русакова Елена Леонидовна,9
Сильнов Алексей Сергеевич,0
Балакин Михаил Дмитриевич,5
Сагенбаев Игорь Александрович,4
Токаев Борис Владимирович,0
Хандриков Илья Николаевич,9
Шелудько Александр Леонидович,0
Ширяев Денис Александрович,8
Лябихов Роман Михайлович,4
Московченко Николай Михайлович,8
Ноздрин Александр Дмитриевич,5
Палеев Антон Рафаэльевич,10
Сиднев Виктор Владимирович,11
Сысоев Дмитрий Ростиславович,9
Милявский Александр Борисович,10
Павленков Юрий Викторович,8
Радаева Ольга Вячеславовна,9
Раменский Павел Олегович,5
Святошенко Владимир Алексеевич,4
Александрова Мария Александровна,4
Захаркин Руслан Игоревич,5
Казенков Олег Юрьевич,8
Лемперт Петр Иванович,11
Поселёнов Павел Александрович,10
Тупикин Дмитрий Васильевич,9
Батышева Татьяна Тимофеевна,10
Логинов Алексей Михайлович,5
Меньшиков Михаил Васильевич,9
Новиков Юрий Михайлович,4
Чуев Александр Викторович,8
Денисенко Татьяна Ивановна,4
Иваненко Сергей Викторович,9
Иксанова Арина Тахировна,8
Кравченко Юрий Александрович,5
Шастина Вера Ростиславовна,10
Ярмольник Леонид Исаакович,11
Гнездилов Александр Валентинович,9
Пономарёв Константин Алексеевич,5
Свиридов Илья Тимурович,8
Шувалова Елена Анатольевна,4
Бабич Барбара Адамовна,0
Кавказский Николай Юрьевич,9
Комендантов Антон Андреевич,0
Кузьминов Ярослав Иванович,0
Симонян Кристина Владиславовна,8
Умников Антон Геннадьевич,5
Фомичева Елена Алексеевна,4
