field name ,russian description,format
name,ФИО кандидата ,string
party,партия кандидата ,string
smart_vote,"была ли поддержка ""Умного голосования"" для этого кандидата, 0 - не поддержан, 1 - поддержан",int
joined_united_rus,"кандидат присоединился к фракции ""Единой России"" или ""Моя Москва"" в Мосгордуме после избрания -1, не присоединился - 0, присоединился - 1 ",int
single_mandate,номер избирательного округа ,int
votes,"количество голосов, которые набрал кандидат ",int
potential_voters,количество голосовавших на избирательных участках,int
inside_voters,количество избирателей в округе,int
early_voters,количество проголосовавших досрочно,int
outside_voters,количество проголосовавших вне помещения для голосования ,int
attendance,явка в процентах ,float
early,процент проголосовавших досрочно от общего числа проголосовавших ,float
outside,процент проголосовавших вне помещения для голосования от общего числа проголосовавших ,float
won,"статус кандидата, 1 - победил, 0 - проиграл ",string
declined,количество отказов в регистрации кандидата/выбыл после регистрации,int
state_employee ,"является ли кандидат бюджетником, 1 - да, 0 - нет, -1 - от партий ",string
affiliation,"отношение к власти спойлер, - 0, административный 1, неадминистративный 2 ",string
