name,party
Жагина Ольга Михайловна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Милованов Вячеслав Анатольевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Никитушкина Светлана Аркадьевна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Титов Андрей Михайлович,Самовыдвижение
Ульянченко Иван Викторович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Воловец Светлана Альбертовна,Самовыдвижение
Жуков Владислав Владимирович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Локтев Дмитрий Александрович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Петров Андрей Юрьевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Рассудов Павел Юрьевич,Самовыдвижение
Воскресенский Леонид Игоревич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Соловьев Александр Сергеевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Цветкова Сабина Алановна,Самовыдвижение
Шевченко Юрий Владимирович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Бессонов Владимир Анатольевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Десяткин Сергей Евгеньевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Киселева Мария Александровна,Самовыдвижение
Лобах Эрик Наэльевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Митина Дарья Александровна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Бабаян Роман Георгиевич,Самовыдвижение
Доможирова Ксения Валерьевна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Литвинов Алексей Сергеевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Удальцова Анастасия Олеговна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Балыхин Михаил Григорьевич,Самовыдвижение
Бунимович Евгений Абрамович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Крутских Наталья Васильевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Мельников Алексей Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Почернин Алексей Юрьевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Вербенкин Антон Юрьевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Жуков Константин Аркадьевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
