name,party
Жагина Ольга Михайловна,3
Милованов Вячеслав Анатольевич,5
Никитушкина Светлана Аркадьевна,8
Титов Андрей Михайлович,0
Ульянченко Иван Викторович,4
Воловец Светлана Альбертовна,0
Жуков Владислав Владимирович,8
Локтев Дмитрий Александрович,4
Петров Андрей Юрьевич,5
Рассудов Павел Юрьевич,0
Воскресенский Леонид Игоревич,3
Соловьев Александр Сергеевич,8
Цветкова Сабина Алановна,0
Шевченко Юрий Владимирович,5
Бессонов Владимир Анатольевич,5
Десяткин Сергей Евгеньевич,4
Киселева Мария Александровна,0
Лобах Эрик Наэльевич,8
Митина Дарья Александровна,3
Бабаян Роман Георгиевич,0
Доможирова Ксения Валерьевна,8
Литвинов Алексей Сергеевич,5
Удальцова Анастасия Олеговна,4
Балыхин Михаил Григорьевич,0
Бунимович Евгений Абрамович,9
Крутских Наталья Васильевна,3
Мельников Алексей Владимирович,4
Почернин Алексей Юрьевич,5
Вербенкин Антон Юрьевич,5
Жуков Константин Аркадьевич,3
Звягинцев Петр Семенович,4
Кушаков Павел Николаевич,8
Перфилова Надежда Рафаиловна,0
Беседина Дарья Станиславовна,0
Власов Василий Максимович,5
Копейкина Екатерина Николаевна,0
Кумин Вадим Валентинович,4
Луговская Елена Константиновна,6
Панина Ольга Григорьевна,8
Бакашева Екатерина Сергеевна,3
Галенкина Майя Александровна,5
Голуенко Алиса Владимировна,8
Медведев Андрей Андреевич,0
Степанов Николай Валерьевич,4
Дашкевич Игорь Николаевич,3
Дашков Юрий Владимирович,4
Картавцева Лариса Руслановна,0
Крюков Алексей Сергеевич,5
Суворов Андрей Александрович,8
Зубрилин Николай Григорьевич,4
Лучин Александр Николаевич,8
Нифантьев Евгений Олегович,0
Рыбин Евгений Евгеньевич,5
Ефимов Александр Борисович,4
Ефимов Максим Владимирович,5
Трофимов Павел Владимирович,3
Шапошников Алексей Валерьевич,0
Янковой Никита Леонидович,8
Бускин Игорь Владимирович,0
Зоммер Денис Валерьевич,3
Кравченко Татьяна Алексеевна,5
Лифанцев Илья Борисович,8
Потапов Александр Владимирович,4
Клочков Дмитрий Владимирович,0
Круглов Максим Сергеевич,9
Починок Наталья Борисовна,0
Степкин Евгений Валериевич,5
